territorial1Key,territorial2Key,territorial3Key
País Vasco,Álava,Alegría-Dulantzi
País Vasco,Álava,Amurrio
País Vasco,Álava,Añana
País Vasco,Álava,Aramaio
País Vasco,Álava,Armiñón
País Vasco,Álava,Arraia-Maeztu
País Vasco,Álava,Arrazua-Ubarrundia
País Vasco,Álava,Artziniega
País Vasco,Álava,Asparrena
País Vasco,Álava,Ayala/Aiara
País Vasco,Álava,Baños De Ebro/Mañueta
País Vasco,Álava,Barrundia
País Vasco,Álava,Berantevilla
País Vasco,Álava,Bernedo
País Vasco,Álava,Campezo/Kanpezu
País Vasco,Álava,Elburgo/Burgelu
País Vasco,Álava,Elciego
País Vasco,Álava,Elvillar/Bilar
País Vasco,Álava,Erriberagoitia/Ribera Alta
País Vasco,Álava,Harana/Valle De Arana
País Vasco,Álava,Iruña Oka/Iruña De Oca
País Vasco,Álava,Iruraiz-Gauna
País Vasco,Álava,Kripan
País Vasco,Álava,Kuartango
País Vasco,Álava,Labastida/Bastida
País Vasco,Álava,Lagrán
País Vasco,Álava,Laguardia
País Vasco,Álava,Lanciego/Lantziego
País Vasco,Álava,Lantarón
País Vasco,Álava,Lapuebla De Labarca
País Vasco,Álava,Laudio/Llodio
País Vasco,Álava,Legutio
País Vasco,Álava,Leza
País Vasco,Álava,Moreda De Álava
País Vasco,Álava,Navaridas
País Vasco,Álava,Okondo
País Vasco,Álava,Oyón-Oion
País Vasco,Álava,Peñacerrada-Urizaharra
País Vasco,Álava,Ribera Baja/Erribera Beitia
País Vasco,Álava,Salvatierra/Agurain
País Vasco,Álava,Samaniego
País Vasco,Álava,San Millán/Donemiliaga
País Vasco,Álava,Urkabustaiz
País Vasco,Álava,Valdegovía/Gaubea
País Vasco,Álava,Villabuena De Álava/Eskuernaga
País Vasco,Álava,Vitoria-Gasteiz
País Vasco,Álava,Yécora/Iekora
País Vasco,Álava,Zalduondo
País Vasco,Álava,Zambrana
País Vasco,Álava,Zigoitia
País Vasco,Álava,Zuia
Castilla la Mancha,Albacete,Abengibre
Castilla la Mancha,Albacete,Alatoz
Castilla la Mancha,Albacete,Albacete
Castilla la Mancha,Albacete,Albatana
Castilla la Mancha,Albacete,Alborea
Castilla la Mancha,Albacete,Alcadozo
Castilla la Mancha,Albacete,Alcalá Del Júcar
Castilla la Mancha,Albacete,Alcaraz
Castilla la Mancha,Albacete,Almansa
Castilla la Mancha,Albacete,Alpera
Castilla la Mancha,Albacete,Ayna
Castilla la Mancha,Albacete,Balazote
Castilla la Mancha,Albacete,El Ballestero
Castilla la Mancha,Albacete,Balsa De Ves
Castilla la Mancha,Albacete,Barrax
Castilla la Mancha,Albacete,Bienservida
Castilla la Mancha,Albacete,Bogarra
Castilla la Mancha,Albacete,Bonete
Castilla la Mancha,Albacete,El Bonillo
Castilla la Mancha,Albacete,Carcelén
Castilla la Mancha,Albacete,Casas De Juan Núñez
Castilla la Mancha,Albacete,Casas De Lázaro
Castilla la Mancha,Albacete,Casas De Ves
Castilla la Mancha,Albacete,Casas-Ibáñez
Castilla la Mancha,Albacete,Caudete
Castilla la Mancha,Albacete,Cenizate
Castilla la Mancha,Albacete,Chinchilla De Monte-Aragón
Castilla la Mancha,Albacete,Corral-Rubio
Castilla la Mancha,Albacete,Cotillas
Castilla la Mancha,Albacete,Elche De La Sierra
Castilla la Mancha,Albacete,Férez
Castilla la Mancha,Albacete,Fuensanta
Castilla la Mancha,Albacete,Fuente-Álamo
Castilla la Mancha,Albacete,Fuentealbilla
Castilla la Mancha,Albacete,La Gineta
Castilla la Mancha,Albacete,Golosalvo
Castilla la Mancha,Albacete,Hellín
Castilla la Mancha,Albacete,La Herrera
Castilla la Mancha,Albacete,Higueruela
Castilla la Mancha,Albacete,Hoya-Gonzalo
Castilla la Mancha,Albacete,Jorquera
Castilla la Mancha,Albacete,Letur
Castilla la Mancha,Albacete,Lezuza
Castilla la Mancha,Albacete,Liétor
Castilla la Mancha,Albacete,Madrigueras
Castilla la Mancha,Albacete,Mahora
Castilla la Mancha,Albacete,Masegoso
Castilla la Mancha,Albacete,Minaya
Castilla la Mancha,Albacete,Molinicos
Castilla la Mancha,Albacete,Montalvos
Castilla la Mancha,Albacete,Montealegre Del Castillo
Castilla la Mancha,Albacete,Motilleja
Castilla la Mancha,Albacete,Munera
Castilla la Mancha,Albacete,Navas De Jorquera
Castilla la Mancha,Albacete,Nerpio
Castilla la Mancha,Albacete,Ontur
Castilla la Mancha,Albacete,Ossa De Montiel
Castilla la Mancha,Albacete,Paterna Del Madera
Castilla la Mancha,Albacete,Peñas De San Pedro
Castilla la Mancha,Albacete,Peñascosa
Castilla la Mancha,Albacete,Pétrola
Castilla la Mancha,Albacete,Povedilla
Castilla la Mancha,Albacete,Pozo Cañada
Castilla la Mancha,Albacete,Pozohondo
Castilla la Mancha,Albacete,Pozo-Lorente
Castilla la Mancha,Albacete,Pozuelo
Castilla la Mancha,Albacete,La Recueja
Castilla la Mancha,Albacete,Riópar
Castilla la Mancha,Albacete,Robledo
Castilla la Mancha,Albacete,La Roda
Castilla la Mancha,Albacete,Salobre
Castilla la Mancha,Albacete,San Pedro
Castilla la Mancha,Albacete,Socovos
Castilla la Mancha,Albacete,Tarazona De La Mancha
Castilla la Mancha,Albacete,Tobarra
Castilla la Mancha,Albacete,Valdeganga
Castilla la Mancha,Albacete,Vianos
Castilla la Mancha,Albacete,Villa De Ves
Castilla la Mancha,Albacete,Villalgordo Del Júcar
Castilla la Mancha,Albacete,Villamalea
Castilla la Mancha,Albacete,Villapalacios
Castilla la Mancha,Albacete,Villarrobledo
Castilla la Mancha,Albacete,Villatoya
Castilla la Mancha,Albacete,Villavaliente
Castilla la Mancha,Albacete,Villaverde De Guadalimar
Castilla la Mancha,Albacete,Viveros
Castilla la Mancha,Albacete,Yeste
Comunidad Valenciana,Alicante,Adsubia
Comunidad Valenciana,Alicante,Agost
